Misalignment,WorkaroundType,WorkaroundQuality,WorkaroundWidget,WorkaroundWidgetCategory,RecordID,Participant,FormType,EditCount,EditType,AppearanceOrderInForm,AppearanceOrderInCategory,SaveTimeRatio
Explicit,Functional adjustment,3,Checkbox,Predetermined,C635,3610,predetermined,1,Not related,1,1,3.34
Explicit,Data adjustment,3,Slider,Controlled,I952,3610,predetermined,0,,2,2,2.4
Explicit,Functional adjustment,3,Checkbox,Predetermined,I952,3610,predetermined,0,,2,2,2.4
Explicit,Data adjustment,3,Slider,Controlled,P590,3610,predetermined,0,,3,3,0.56
Explicit,Functional adjustment,3,Checkbox,Predetermined,P590,3610,predetermined,0,,3,3,0.56
Explicit,Data adjustment,3,Slider,Controlled,P829,3610,predetermined,0,,4,4,0.48
Explicit,Functional adjustment,3,Checkbox,Predetermined,P829,3610,predetermined,0,,4,4,0.48
Explicit,Data adjustment,3,Slider,Controlled,Z323,3610,predetermined,0,,5,5,0.83
Explicit,Functional adjustment,3,Checkbox,Predetermined,Z323,3610,predetermined,0,,5,5,0.83
Outlier,Data adjustment,3,Slider,Controlled,Y379,3610,predetermined,0,,6,1,4.72
Outlier,Functional adjustment,3,Checkbox,Predetermined,Y379,3610,predetermined,0,,6,1,4.72
Outlier,Data adjustment,3,Slider,Controlled,V224,3610,predetermined,0,,7,2,0.8
Outlier,Functional adjustment,3,Checkbox,Predetermined,V224,3610,predetermined,0,,7,2,0.8
Outlier,Data adjustment,3,Slider,Controlled,R531,3610,predetermined,1,Ad hoc,8,3,1.34
Outlier,Functional adjustment,3,Checkbox,Predetermined,R531,3610,predetermined,1,Ad hoc,8,3,1.34
Outlier,Data adjustment,3,Slider,Controlled,J901,3610,predetermined,0,,9,4,0.59
Outlier,Functional adjustment,3,Checkbox,Predetermined,J901,3610,predetermined,0,,9,4,0.59
Outlier,Data adjustment,3,Slider,Controlled,S029,3610,predetermined,0,,10,5,1.62
Outlier,Functional adjustment,3,Checkbox,Predetermined,S029,3610,predetermined,0,,10,5,1.62
Ambiguous,Data adjustment,3,Slider,Controlled,G108,3610,predetermined,0,,11,1,0.87
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,G108,3610,predetermined,0,,11,1,0.87
Ambiguous,Data adjustment,3,Slider,Controlled,R491,3610,predetermined,0,,12,2,0.9
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,R491,3610,predetermined,0,,12,2,0.9
Ambiguous,Data adjustment,3,Slider,Controlled,Y523,3610,predetermined,0,,13,3,0.73
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,Y523,3610,predetermined,0,,13,3,0.73
Ambiguous,Data adjustment,3,Slider,Controlled,Y572,3610,predetermined,0,,14,4,0.45
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,Y572,3610,predetermined,0,,14,4,0.45
Ambiguous,Data adjustment,3,Slider,Controlled,U459,3610,predetermined,0,,15,5,0.63
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,U459,3610,predetermined,0,,15,5,0.63
Implicit,Data adjustment,4,Date picker,Controlled,V179,4238,conference,0,,1,1,0.91
Implicit,Data adjustment,4,Date picker,Controlled,J538,4238,conference,0,,2,2,0.7
Implicit,Data adjustment,3,Date picker,Controlled,R054,4238,conference,0,,3,3,1.32
Implicit,Data adjustment,3,Date picker,Controlled,W366,4238,conference,0,,4,4,0.98
Implicit,Data adjustment,3,Date picker,Controlled,Z466,4238,conference,0,,5,5,0.98
Nonstandard,Data adjustment,3,Slider,Controlled,J557,4238,conference,0,,6,1,1.19
Nonstandard,Data adjustment,3,Slider,Controlled,H429,4238,conference,0,,7,2,0.57
Nonstandard,Data adjustment,3,Slider,Controlled,N741,4238,conference,0,,8,3,0.7
Nonstandard,Data adjustment,3,Slider,Controlled,J757,4238,conference,0,,9,4,0.68
Nonstandard,Data adjustment,3,Slider,Controlled,I741,4238,conference,0,,10,5,0.79
Ambiguous,Fallback,3,Text box,Open,J073,4238,conference,1,Systematic,11,1,0.92
Ambiguous,Functional adjustment,4,Combo box,Predetermined,J073,4238,conference,1,Systematic,11,1,0.92
Ambiguous,Fallback,3,Text box,Open,P615,4238,conference,1,Systematic,12,2,1.94
Ambiguous,Functional adjustment,4,Combo box,Predetermined,P615,4238,conference,1,Systematic,12,2,1.94
Ambiguous,Fallback,3,Text box,Open,Z146,4238,conference,1,Systematic,13,3,1.02
Ambiguous,Functional adjustment,4,Combo box,Predetermined,Z146,4238,conference,1,Systematic,13,3,1.02
Ambiguous,Fallback,3,Text box,Open,S553,4238,conference,0,,14,4,1.17
Ambiguous,Functional adjustment,4,Combo box,Predetermined,S553,4238,conference,0,,14,4,1.17
Ambiguous,Fallback,3,Text box,Open,T541,4238,conference,0,,15,5,1.74
Ambiguous,Functional adjustment,4,Combo box,Predetermined,T541,4238,conference,0,,15,5,1.74
Outlier,Functional adjustment,4,Checkbox,Predetermined,D574,4238,controlled,0,,1,1,1.02
Outlier,Functional adjustment,4,Checkbox,Predetermined,V402,4238,controlled,0,,2,2,0.47
Outlier,Functional adjustment,4,Checkbox,Predetermined,V967,4238,controlled,0,,3,3,0.34
Outlier,Functional adjustment,4,Checkbox,Predetermined,T661,4238,controlled,0,,4,4,0.38
Outlier,Functional adjustment,4,Checkbox,Predetermined,H702,4238,controlled,0,,5,5,0.34
Nonstandard,Functional adjustment,4,Text box,Open,G379,4238,controlled,0,,6,1,0.74
Nonstandard,Functional adjustment,4,Checkbox,Predetermined,G379,4238,controlled,0,,6,1,0.74
Nonstandard,Functional adjustment,4,Text box,Open,G812,4238,controlled,0,,7,2,0.36
Nonstandard,Functional adjustment,4,Checkbox,Predetermined,G812,4238,controlled,0,,7,2,0.36
Nonstandard,Functional adjustment,4,Text box,Open,N230,4238,controlled,0,,8,3,0.23
Nonstandard,Functional adjustment,4,Checkbox,Predetermined,N230,4238,controlled,0,,8,3,0.23
Nonstandard,Functional adjustment,4,Text box,Open,E342,4238,controlled,0,,9,4,0.28
Nonstandard,Functional adjustment,4,Checkbox,Predetermined,E342,4238,controlled,0,,9,4,0.28
Nonstandard,Functional adjustment,4,Text box,Open,F169,4238,controlled,0,,10,5,0.57
Nonstandard,Functional adjustment,4,Checkbox,Predetermined,F169,4238,controlled,0,,10,5,0.57
Ambiguous,Functional adjustment,4,Number spinner,Controlled,F165,4238,controlled,1,Systematic,11,1,3.26
Ambiguous,Functional adjustment,4,Text box,Open,F165,4238,controlled,1,Systematic,11,1,3.26
Ambiguous,Functional adjustment,4,Checkbox,Predetermined,F165,4238,controlled,1,Systematic,11,1,3.26
Ambiguous,Functional adjustment,4,Number spinner,Controlled,A834,4238,controlled,0,,12,2,1.38
Ambiguous,Functional adjustment,4,Text box,Open,A834,4238,controlled,0,,12,2,1.38
Ambiguous,Functional adjustment,4,Checkbox,Predetermined,A834,4238,controlled,0,,12,2,1.38
Ambiguous,Functional adjustment,4,Number spinner,Controlled,Q510,4238,controlled,0,,13,3,1.4
Ambiguous,Functional adjustment,4,Text box,Open,Q510,4238,controlled,0,,13,3,1.4
Ambiguous,Functional adjustment,4,Checkbox,Predetermined,Q510,4238,controlled,0,,13,3,1.4
Ambiguous,Functional adjustment,4,Number spinner,Controlled,P203,4238,controlled,0,,14,4,1
Ambiguous,Functional adjustment,4,Text box,Open,P203,4238,controlled,0,,14,4,1
Ambiguous,Functional adjustment,4,Checkbox,Predetermined,P203,4238,controlled,0,,14,4,1
Ambiguous,Functional adjustment,4,Number spinner,Controlled,V605,4238,controlled,0,,15,5,1.09
Ambiguous,Functional adjustment,4,Text box,Open,V605,4238,controlled,0,,15,5,1.09
Ambiguous,Functional adjustment,4,Checkbox,Predetermined,V605,4238,controlled,0,,15,5,1.09
Nonstandard,Data adjustment,3,Date picker,Controlled,C675,4238,employee,0,,1,1,1.11
Nonstandard,Data adjustment,3,Date picker,Controlled,A895,4238,employee,0,,2,2,0.78
Nonstandard,Data adjustment,3,Date picker,Controlled,U110,4238,employee,0,,3,3,0.78
Nonstandard,Data adjustment,4,Date picker,Controlled,M073,4238,employee,0,,4,4,0.85
Nonstandard,Data adjustment,4,Date picker,Controlled,Q709,4238,employee,0,,5,5,0.8
Implicit,Fallback,2,Text box,Open,D505,4238,employee,1,Systematic,6,1,1.22
Implicit,Fallback,2,Text box,Open,N474,4238,employee,0,,7,2,1.33
Implicit,Fallback,2,Text box,Open,X731,4238,employee,0,,8,3,1.84
Implicit,Fallback,2,Text box,Open,Y561,4238,employee,0,,9,4,0.67
Implicit,Fallback,2,Text box,Open,M647,4238,employee,0,,10,5,0.82
Ambiguous,Data loss,1,Text box,Open,I095,4238,employee,0,,11,1,0.96
Ambiguous,Data loss,2,Combo box,Predetermined,I095,4238,employee,0,,11,1,0.96
Ambiguous,Data loss,1,Text box,Open,P580,4238,employee,0,,12,2,1.15
Ambiguous,Data loss,2,Combo box,Predetermined,P580,4238,employee,0,,12,2,1.15
Ambiguous,Data loss,1,Text box,Open,I609,4238,employee,0,,13,3,0.76
Ambiguous,Data loss,2,Combo box,Predetermined,I609,4238,employee,0,,13,3,0.76
Ambiguous,Data loss,1,Text box,Open,N689,4238,employee,0,,14,4,0.75
Ambiguous,Data loss,2,Combo box,Predetermined,N689,4238,employee,0,,14,4,0.75
Ambiguous,Data loss,1,Text box,Open,T422,4238,employee,0,,15,5,0.96
Ambiguous,Data loss,2,Combo box,Predetermined,T422,4238,employee,0,,15,5,0.96
Explicit,Fallback,3,Text box,Open,Q841,5427,conference,0,,1,1,0.88
Explicit,Fallback,3,Text box,Open,Z353,5427,conference,0,,2,2,1.12
Explicit,Functional adjustment,3,Checkbox,Predetermined,Z353,5427,conference,0,,2,2,1.12
Explicit,Fallback,3,Text box,Open,R025,5427,conference,0,,3,3,1.75
Explicit,Functional adjustment,3,Checkbox,Predetermined,R025,5427,conference,0,,3,3,1.75
Explicit,Fallback,3,Text box,Open,S497,5427,conference,0,,4,4,0.75
Explicit,Functional adjustment,3,Checkbox,Predetermined,S497,5427,conference,0,,4,4,0.75
Explicit,Fallback,3,Text box,Open,P946,5427,conference,0,,5,5,0.71
Explicit,Functional adjustment,3,Checkbox,Predetermined,P946,5427,conference,0,,5,5,0.71
Implicit,Data adjustment,3,Date picker,Controlled,R993,5427,conference,0,,6,1,1.9
Implicit,Data adjustment,3,Date picker,Controlled,K246,5427,conference,0,,7,2,0.98
Implicit,Data adjustment,4,Date picker,Controlled,G813,5427,conference,0,,8,3,1.19
Implicit,Data adjustment,4,Date picker,Controlled,V347,5427,conference,0,,9,4,0.81
Implicit,Data adjustment,3,Date picker,Controlled,M822,5427,conference,0,,10,5,1.63
Nonstandard,Data adjustment,3,Slider,Controlled,H673,5427,conference,0,,11,1,1.12
Nonstandard,Data adjustment,3,Slider,Controlled,F752,5427,conference,0,,12,2,0.81
Nonstandard,Data adjustment,3,Slider,Controlled,O907,5427,conference,1,Not related,13,3,0.96
Nonstandard,Data adjustment,3,Slider,Controlled,X051,5427,conference,0,,14,4,0.9
Nonstandard,Data adjustment,3,Slider,Controlled,U397,5427,conference,0,,15,5,0.63
Explicit,Fallback,2,Text box,Open,Q787,5427,controlled,0,,1,1,-1.04
Explicit,Fallback,2,Text box,Open,Q117,5427,controlled,0,,2,2,1.68
Explicit,Fallback,2,Text box,Open,N922,5427,controlled,0,,3,3,0.58
Explicit,Fallback,2,Text box,Open,F787,5427,controlled,0,,4,4,1.22
Explicit,Fallback,2,Text box,Open,L836,5427,controlled,0,,5,5,0.75
Outlier,No workaround,N/A,N/A,N/A,C588,5427,controlled,0,,6,1,0.87
Outlier,No workaround,N/A,N/A,N/A,R118,5427,controlled,0,,7,2,0.69
Outlier,No workaround,N/A,N/A,N/A,D189,5427,controlled,0,,8,3,0.35
Outlier,No workaround,N/A,N/A,N/A,A819,5427,controlled,0,,9,4,1.39
